text,DATE,VOTES,prediction,profanity_emoji
It’s like The Mist by Stephen Hawking outside,2026-03-04T13:56:39.453Z,1,1,🟢
This that early Erie spring weather,2026-03-04T13:31:03.240Z,1,1,🟢
I’m good from state to state,2026-03-04T07:44:35.349Z,1,1,🟢
Men’s soccer (true) champions party in my bed rn 😋😋,2026-03-04T07:34:34.594Z,24,1,🟢
interesting how msoc and flag football are full of poc and didn’t win….. over a bunch of white women…….,2026-03-04T05:53:18.340Z,43,1,🟢
we still talking about laker showdown 3 hours later?☠️,2026-03-04T05:19:25.358Z,45,1,🟢
only explanation for field hockey winning laker showdown was being promised the win 3000 years ago,2026-03-04T04:54:34.235Z,40,1,🟢
Fuck yall getting my fh post taken down,2026-03-04T04:44:39.446Z,13,0,🟡
how to make him ask me out no glue no borax,2026-03-04T04:29:38.564Z,26,1,🟢
So did we not see mlax fucking the floor,2026-03-04T04:28:50.675Z,41,1,🟡
flag football flips were sick,2026-03-04T04:20:20.987Z,48,0,🟢
You know it’s bad when their own teammates hating on them😭,2026-03-04T04:12:29.185Z,20,0,🟢
I don’t know how the fh team could celebrate their own win I would be so embarrassed,2026-03-04T04:05:46.903Z,34,1,🟢
"not the whole student body ganging up on fh, ts too funny😭😂",2026-03-04T03:52:07.254Z,68,1,🟢
Field hockey winning anything but games btw,2026-03-04T03:36:13.149Z,28,1,🟢
"1. flag2. wsoc
3. msoc

🤷‍♂️",2026-03-04T03:30:09.304Z,55,1,🟢
"HOLY SHIT HOW DO YOU NOY GET THE POINT OF WE DONT GIVE A FUCK ABOUT YOU, STOP POSTING ON THE SNAP STORY WE CAN TELL YOUR RUN THRU JUST BC OF THAT",2026-03-04T03:28:57.657Z,37,0,🟡
at least wrestling didn’t get the stage pregnant this year,2026-03-04T03:28:08.007Z,45,1,🟢
even tho rowing sucked those girls are UNITS!!,2026-03-04T03:27:18.984Z,42,0,🟡
All the trumpies were prolly mad about the MSOC,2026-03-04T03:22:59.489Z,60,1,🟢
Volleyball the only team that deserved top 3… where tf flag fball and msoc?!!!,2026-03-04T03:14:13.738Z,53,1,🟢
WHATEVER,2026-03-04T03:13:18.544Z,16,1,🟢
Yo anyone record it,2026-03-04T03:06:29.231Z,0,1,🟢
Performance sucked,2026-03-04T03:03:05.632Z,49,0,🟡
"Can’t lie, Volleyball fucked for bring out the AIM students.",2026-03-04T03:00:58.841Z,87,1,🟡
Abracadabra,2026-03-04T02:56:03.613Z,13,1,🟢
I fear Luke the laker ate down,2026-03-04T02:55:23.924Z,40,1,🟢
Field hockey acting like they just won the national championship,2026-03-04T02:54:22.626Z,38,1,🟢
hope you guys enjoyed the magic show😩,2026-03-04T02:53:19.111Z,46,1,🟢
golf what happened to my champs,2026-03-04T02:50:13.082Z,29,1,🟢
To everyone hating on wsoc let me just remind you of this,2026-03-04T02:42:27.109Z,15,0,🟢
Msoc actually had a good message behind it,2026-03-04T02:41:28.933Z,140,1,🟢
